Fecha,Demanda DS,Prioritaria,Industria,Usinas,Exportaciones,,Sur,NBA I,NBA II,TGS,,Norte,Nqn,TGN,,GPM,BOLIVIA,ESCOBAR,ENARSA,,Tucumán Min,Tucumán Max,Tucumán Promedio,BA Min,BA Max,BA Promedio,Esquel Min,Esquel Max,Esquel Promedio,,Linepack TGS,Var. TGS,Lim Inf. TGS,Lim Sup. TGS,,Linepack TGN,Var. TGN,Lim Inf. TGN,Lim Sup. TGN,,Tramo Final TGS,,,Tramo Final TGN,,,,,,,,,,,,,,,,,,,Fecha,GAS,GASOIL,FUELOIL,CARBON
2026-07-29,172.9,67.6,34.9,35.2,7.3,,23.6,11.3,41.7,76.7,,2.4,34.8,37.2,,19.0,0.0,10.0,19.0,,14.4,18.7,16.6,9.0,15.0,12.0,-4.9,3.6,-0.7,,218.6,,,,,130.39,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-29,,,,
2026-07-30,157.5,68.5,33.2,27.7,3.6,,23.4,11.3,41.4,76.1,,2.6,34.9,37.4,,21.6,0.0,9.0,21.6,,15.1,23.1,19.1,11.0,18.0,14.5,-0.0,3.0,1.5,,218.84,0.24,,,,133.09,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-30,,,,
2026-07-31,137.6,,35.0,,6.5,,,,,82.7,,,,35.1,,0.0,0.0,0.0,19.8,,13.6,24.4,19.0,14.0,21.0,17.5,-0.0,5.5,2.8,,221.78,2.94,,,,138.76,5.67,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-31,,,,
2026-08-01,132.5,,33.6,,3.5,,,,,79.1,,,,33.6,,0.0,0.0,0.0,19.8,,14.8,24.7,19.8,14.0,19.0,16.5,0.6,3.6,2.1,,224.78,3.0,,,,143.55,4.79,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-01,,,,
2026-08-02,137.2,56.3,32.1,21.2,4.5,,23.7,11.6,40.4,75.7,,3.6,29.0,32.6,,21.6,1.3,0.0,21.6,,10.7,24.3,17.5,12.0,15.0,13.5,0.9,5.5,3.2,,232.22,7.44,,,,143.61,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-02,,,,
2026-08-03,157.5,59.6,35.0,30.6,7.5,,24.2,11.2,38.9,74.3,,3.7,33.4,37.1,,21.1,1.3,0.0,21.1,,13.0,26.3,19.6,13.0,16.0,14.5,-2.1,6.2,2.0,,229.69,-2.53,,,,136.96,-6.65,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-03,,,,
2026-08-04,159.6,63.0,34.5,31.1,5.7,,23.8,10.8,40.5,75.2,,4.0,34.3,38.2,,21.3,1.4,3.0,21.3,,17.5,22.5,20.0,11.0,15.0,13.0,-2.2,4.6,1.2,,228.57,-1.12,,,,133.01,-3.95,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-04,,,,
2026-08-05,160.4,62.6,35.0,32.2,4.7,,23.9,10.7,41.1,75.7,,5.4,32.6,38.0,,20.9,2.8,8.0,20.9,,16.4,22.8,19.6,13.0,16.0,14.5,-3.1,4.3,0.6,,225.08,-3.49,,,,135.24,2.23,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-05,,,,
2026-08-06,161.7,71.1,34.9,27.3,4.6,,24.1,10.3,42.6,77.0,,5.8,31.5,37.3,,21.0,3.7,6.0,21.0,,12.7,27.0,19.9,9.0,14.0,11.5,-5.2,4.6,-0.3,,,,,,,134.62,-0.62,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-06,,,,
2026-08-07,151.5,,35.1,,5.4,,,,,92.4,,,,39.3,,0.0,0.0,0.0,19.8,,8.7,19.4,14.0,5.0,13.0,9.0,-4.7,1.9,-1.4,,221.37,-3.71,,,,135.21,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-07,,,,
2026-08-08,145.2,,33.5,,5.0,,,,,88.0,,,,37.4,,0.0,0.0,0.0,19.8,,7.1,19.2,13.1,7.0,13.0,10.0,-5.4,2.4,-1.5,,224.37,3.0,,,,135.61,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-08,,,,
2026-08-09,146.3,,33.4,,5.5,,,,,88.8,,,,37.7,,0.0,0.0,0.0,19.8,,4.9,16.4,10.6,3.0,15.0,9.0,-6.4,-0.2,-3.3,,225.93,1.56,,,,135.28,-0.33,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-09,,,,
2026-08-10,182.8,86.8,31.8,33.0,5.7,,23.5,9.6,41.1,74.2,,4.9,33.5,38.4,,22.4,2.4,15.0,22.4,,9.1,15.0,12.1,4.0,12.0,8.0,-10.5,0.3,-5.1,,218.63,-7.3,,,,126.27,-9.01,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-10,,,,
2026-08-11,181.8,86.5,31.4,34.2,5.8,,24.4,10.4,41.9,76.8,,4.2,35.7,39.8,,23.0,1.8,20.1,23.0,,7.1,14.8,10.9,6.0,12.0,9.0,-4.5,1.8,-1.4,,216.39,-2.24,,,,123.32,-2.95,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-11,40.72,4649.3,2021.1,3016.3
