fecha,linepack_total_est,linepack_tgn_est,temp_prom,linepack_tgs_est
2026-09-23,358.43,131.27,,
2026-09-24,358.11,131.48,16.8,227.66
2026-09-25,357.88,131.64,20.1,227.38
2026-09-26,357.72,131.77,16.4,227.18
2026-09-27,357.61,131.88,15.1,227.04
2026-09-28,357.53,131.96,16.1,226.95
2026-09-29,357.48,132.03,16.9,226.88
2026-09-30,357.44,132.08,13.6,226.83
2026-10-01,357.41,132.12,14.8,226.8
2026-10-02,357.39,132.16,17.9,226.78
2026-10-03,357.38,132.19,21.4,226.76
2026-10-04,357.37,132.21,18.9,226.75
2026-10-05,357.36,132.23,18.2,226.74
2026-10-06,357.36,132.24,16.4,226.74
2026-10-07,357.36,132.25,15.4,226.74
