fecha,demanda_total,prioritaria,industria,usinas,exportaciones,iny_tgs,iny_tgn,iny_enarsa,iny_gpm,iny_bolivia,iny_escobar,iny_total,linepack_tgs,var_linepack_tgs,lim_inf_tgs,lim_sup_tgs,linepack_tgn,var_linepack_tgn,lim_inf_tgn,lim_sup_tgn,linepack_total,var_linepack_total,lim_inf_total,lim_sup_total,tramo_final_tgs,tf_lim_inf_tgs,tf_lim_sup_tgs,tramo_final_tgn,tf_lim_inf_tgn,tf_lim_sup_tgn,temp_min_ba,temp_max_ba,temp_prom_ba,temp_min_esquel,temp_max_esquel,temp_prom_esquel,cammesa_gas,cammesa_gasoil,cammesa_fueloil,cammesa_carbon,cammesa_total,gnc,combustible,ajuste,origen_dato,estado_tgn,cammesa_gas_est,cammesa_gasoil_est,cammesa_fueloil_est,cammesa_carbon_est
2024-04-20,109.1,30.1,35.1,,8.5,62.3,25.6,21.2,0.0,0.0,0.0,109.1,,,,,,,,,336.0,,,,,,,,,,19.0,27.0,23.0,,,,,,,,,,,,RDS_ESTIMADO,,,,,
2024-04-21,110.9,31.1,34.8,,8.5,63.6,26.1,21.2,0.0,0.0,0.0,110.9,,,,,,,,,344.2,,,,,,,,,,18.0,23.0,20.5,,,,,,,,,,,,RDS_ESTIMADO,,,,,
2024-04-22,125.0,35.9,35.9,,6.5,73.6,30.2,21.2,0.0,0.0,0.0,125.0,,,,,,,,,348.5,,,,,,,,,,17.0,20.0,18.5,,,,,,,,,,,,RDS_ESTIMADO,,,,,
2024-04-23,123.1,35.9,36.1,,6.5,72.2,29.7,21.2,0.0,0.0,0.0,123.1,,,,,,,,,341.9,,,,,,,,,,17.0,22.0,19.5,,,,,,,,,,,,RDS_ESTIMADO,,,,,
2024-04-24,129.5,38.8,36.3,,8.8,76.8,31.5,21.2,0.0,0.0,0.0,129.5,,,,,,,,,337.4,,,,,,,,,,9.0,19.0,14.0,,,,,,,,,,,,RDS_ESTIMADO,,,,,
2024-04-25,120.2,36.6,35.9,,8.5,70.2,28.8,21.2,0.0,0.0,0.0,120.2,,,,,,,,,331.7,,,,,,,,,,14.0,20.0,17.0,,,,,,,,,,,,RDS_ESTIMADO,,,,,
2024-04-26,120.2,38.0,35.1,,8.5,70.2,28.8,21.2,0.0,0.0,0.0,120.2,,,,,,,,,328.4,,,,,,,,,,16.0,21.0,18.5,,,,,,,,,,,,RDS_ESTIMADO,,,,,
2024-04-27,115.6,35.9,36.2,,7.699999999999999,66.9,27.5,21.2,0.0,0.0,0.0,115.6,,,,,,,,,327.7,,,,,,,,,,12.0,18.0,15.0,,,,,,,,,,,,RDS_ESTIMADO,,,,,
2024-04-28,107.4,32.7,36.0,,7.5,61.1,25.1,21.2,0.0,0.0,0.0,107.4,,,,,,,,,331.2,,,,,,,,,,7.0,20.0,13.5,,,,,,,,,,,,RDS_ESTIMADO,,,,,
2024-04-29,122.2,38.2,36.3,,7.800000000000001,71.6,29.4,21.2,0.0,0.0,0.0,122.2,,,,,,,,,338.0,,,,,,,,,,15.0,19.0,17.0,,,,,,,,,,,,RDS_ESTIMADO,,,,,
2024-04-30,130.6,43.3,37.4,,9.2,77.5,31.9,21.2,0.0,0.0,0.0,130.6,,,,,,,,,337.7,,,,,,,,,,17.0,21.0,19.0,,,,,,,,,,,,RDS_ESTIMADO,,,,,
2024-05-01,114.5,42.4,34.7,,6.1000000000000005,66.1,27.2,21.2,0.0,0.0,0.0,114.5,,,,,,,,,339.8,,,,,,,,,,14.0,19.0,16.5,,,,,,,,,,,,RDS_ESTIMADO,,,,,
2024-05-02,137.3,55.1,34.3,,6.2,82.3,33.8,21.2,0.0,0.0,0.0,137.3,,,,,,,,,352.0,,,,,,,,,,9.0,15.0,12.0,,,,,,,,,,,,RDS_ESTIMADO,,,,,
2024-05-03,133.2,54.4,34.8,,6.2,79.4,32.6,21.2,0.0,0.0,0.0,133.2,,,,,,,,,346.8,,,,,,,,,,6.0,16.0,11.0,,,,,,,,,,,,RDS_ESTIMADO,,,,,
2024-05-04,124.2,48.3,35.0,,6.2,73.0,30.0,21.2,0.0,0.0,0.0,124.2,,,,,,,,,341.7,,,,,,,,,,8.0,19.0,13.5,,,,,,,,,,,,RDS_ESTIMADO,,,,,
2024-05-05,118.3,43.3,34.6,,5.7,68.8,28.3,21.2,0.0,0.0,0.0,118.3,,,,,,,,,344.9,,,,,,,,,,16.0,20.0,18.0,,,,,,,,,,,,RDS_ESTIMADO,,,,,
2024-05-06,126.2,44.8,35.5,,6.2,74.4,30.6,21.2,0.0,0.0,0.0,126.2,,,,,,,,,354.7,,,,,,,,,,18.0,20.0,19.0,,,,,,,,,,,,RDS_ESTIMADO,,,,,
2024-05-07,128.1,44.5,34.2,,6.4,75.8,31.1,21.2,0.0,0.0,0.0,128.1,,,,,,,,,358.4,,,,,,,,,,17.0,20.0,18.5,,,,,,,,,,,,RDS_ESTIMADO,,,,,
2024-05-08,135.7,52.7,34.0,,6.4,81.1,33.4,21.2,0.0,0.0,0.0,135.7,,,,,,,,,358.4,,,,,,,,,,12.0,18.0,15.0,,,,,,,,,,,,RDS_ESTIMADO,,,,,
2024-05-09,140.5,55.7,32.7,,6.8,84.5,34.8,21.2,0.0,0.0,0.0,140.5,,,,,,,,,357.2,,,,,,,,,,7.0,16.0,11.5,,,,,,,,,,,,RDS_ESTIMADO,,,,,
2024-05-10,146.5,58.4,33.6,,6.2,88.8,36.5,21.2,0.0,0.0,0.0,146.5,,,,,,,,,354.6,,,,,,,,,,10.0,17.0,13.5,,,,,,,,,,,,RDS_ESTIMADO,,,,,
