fecha,linepack_total_est,linepack_tgn_est,linepack_tgs_est,temp_prom
2026-09-25,358.7,132.72,231.62,
2026-09-26,357.79,132.66,230.24,16.8
2026-09-27,357.15,132.62,229.27,15.9
2026-09-28,356.71,132.58,228.59,16.6
2026-09-29,356.4,132.55,228.12,17.8
2026-09-30,356.18,132.53,227.79,13.8
2026-10-01,356.03,132.51,227.56,13.5
2026-10-02,355.92,132.5,227.4,14.3
2026-10-03,355.85,132.49,227.29,16.2
2026-10-04,355.8,132.48,227.21,18.5
2026-10-05,355.76,132.47,227.15,17.7
2026-10-06,355.73,132.46,227.11,19.4
2026-10-07,355.71,132.46,227.08,18.8
2026-10-08,355.7,132.46,227.06,17.8
2026-10-09,355.69,132.46,227.05,15.9
